,INVESTING (manual),,,,,,,EDGAR (nuevos calculos),,,,,,,,COMPARACION % (EDGAR-Investing),,,,,,,CALIDAD,,
Ticket,PER,EPS,Crec.EPS,Margen,ROE,Payout,,PER,EPS_anual,EPS_TTM,Crec.EPS,Margen,ROE,Payout,,PER,EPS(anual),Crec.EPS,Margen,ROE,Payout,,TTM_estrategia,stale,flags
BK,,,,,,,,,,,,,,,,,,,,,,,,,
NGG,"18,96","0,65","12,12%","18,32%","8,41%","50,08%",,,,,,,,,,,,,,,,,,,
DE,"34,45","18,50","16,31%","10,10%","18,35%","36,69%",,"34,03","18,50","17,66","16,31%","10,09%","18,51%","36,69%",,"-1,23%","+0,00%","+0,02%","-0,08%","+0,85%","+0,01%",,B,,
GE,"45,34","8,05","8,08%","17,86%","45,43%","17,74%",,"44,69","8,14","8,19","11,95%","17,86%","46,26%",,,"-1,44%","+1,12%","+47,85%","+0,02%","+1,83%",,,B,,
TM,"9,29","295,25","13,19%","7,59%","10,23%","32,20%",,,,,,,,,,,,,,,,,C,SI,stale_2013-03-31
HNP,,,,,,,,,,,,,,,,,,,,,,,,,
C,"17,85","6,99","8,13%","20,36%","7,65%","33,71%",,"18,80","6,99","7,64","8,17%","16,79%","6,80%","37,55%",,"+5,32%","+0,00%","+0,49%","-17,55%","-11,14%","+11,39%",,C,,ni_es_fy_no_ttm
JPM,"15,93","20,02","17,65%","33,94%","16,46%","29,16%",,"15,40","20,02","21,65","17,65%","32,28%","16,46%","29,16%",,"-3,33%","+0,00%","+0,03%","-4,88%","+0,03%","+0,01%",,B,,
BAC,"14,30","3,81","15,30%","28,96%","10,64%","30,37%",,"13,49","3,81","4,28","15,30%","27,56%","10,67%","4,50%",,"-5,63%","+0,00%","-0,02%","-4,82%","+0,31%","-85,19%",,B,,
MRK,"33,73","7,28","32,54%","13,59%","18,94%","92,12%",,"33,37","7,28","3,61","21,23%","13,59%","18,97%","92,12%",,"-1,08%","+0,00%","-34,75%","-0,03%","+0,15%","+0,00%",,B,,
SNE,,,,,,,,,,,,,,,,,,,,,,,,,
BBD,"8,05","2,24","8,60%","25,36%","13,37%","47,06%",,,,,,,,,,,,,,,,,,,
LLY,"39,38","22,95","27,58%","34,99%","107,46%","22,10%",,"39,60","22,95","28,21","27,58%","34,99%","107,65%","22,10%",,"+0,56%","+0,00%","-0,00%","-0,01%","+0,17%","-0,00%",,B,,
KB,"9,92","15,26","11,90%","36,58%","9,99%","24,88%",,,,,,,,,,,,,,,,,C,SI,stale_2010-12-31
CS,,,,,,,,,,,,,,,,,,,,,,,,,
VZ,"11,08","4,06","-1,14%","12,46%","17,20%","66,52%",,"11,09","4,06","4,12","-1,14%","12,46%",,"66,52%",,"+0,10%","+0,00%","+0,18%","+0,01%",,"+0,00%",,B,,
WBK,,,,,,,,,,,,,,,,,,,,,,,,,
HWM,"64,13","3,71","50,53%","20,22%","33,82%","10,72%",,"63,79","3,71","4,33","29,21%","20,22%","33,82%","13,07%",,"-0,53%","+0,00%","-42,19%","+0,02%","-0,01%","+21,95%",,B,,
ING,"9,60","2,78","36,95%","34,23%","16,57%","46,66%",,,,,,,,,,,,,,,,,,,
NMR,"11,77","118,99","19,60%","16,71%","10,07%","49,63%",,,,,,,,,,,,,,,,,C,SI,shares_descartadas_escala;stale_2011-03-31
