Investing,P/E RatioTTM,Diluted EPSANN,5 Year EPS Growth5YA,Net Profit marginTTM,Return on EquityTTM,Payout RatioTTM,,EDGAR,,,,,,,,Comparacion,,,,,,
Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout,,Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout,,Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout
PSO,"22,66","0,51","3,02%","9,37%","8,71%","47,76%",,,,,,,,,,PSO,,,,,,
HON,"36,62","6,89","0,49%","10,89%","24,26%","73,76%",,HON,"35,40","7,36","1,84%","10,89%","26,41%","73,76%",,HON,"-3,33%","+6,82%","+274,71%","-0,00%","+8,87%","+0,00%"
ITUB,"9,96","4,01","18,70%","33,28%","21,82%","69,17%",,ITUB,,,,,,,,ITUB,,,,,,
BSBR,"7,72","3,42","-1,02%","28,16%","10,47%","56,01%",,,,,,,,,,BSBR,,,,,,
T,"7,49","3,05","48,05%","16,94%","18,37%","37,73%",,T,"7,33","3,04",,"16,94%",,"37,73%",,T,"-2,07%","-0,33%",,"-0,01%",,"+0,00%"
OGZPY,Joaquin,,,,,,,,,,,,,,,OGZPY,,,,,,
PEP,"22,51",6,"3,22%","9,15%","43,88%","88,42%",,PEP,"22,34","6,00","3,22%","9,15%","43,92%","88,42%",,PEP,"-0,78%","+0,00%","+0,09%","-0,01%","+0,08%","+0,00%"
XOM,"22,97","6,7","4,98%","7,76%","9,87%","68,07%",,XOM,"23,90","6,70",,"7,57%","9,79%","68,07%",,XOM,"+4,04%","+0,00%",,"-2,40%","-0,80%","-0,01%"
PFE,"18,4","1,36","2,88%","11,83%","8,31%","130,54%",,PFE,"18,39","1,36","-3,56%","11,83%","8,30%",,,PFE,"-0,04%","+0,00%","-223,51%","+0,01%","-0,08%",
AXP,"21,37","15,38","32,47%","16,31%","34,42%","20,90%",,AXP,"20,94","15,38","32,47%","26,59%","34,42%","20,90%",,AXP,"-1,99%","+0,00%","+0,01%","+63,03%","-0,00%","+0,00%"
MMC,,,,,,,,,,,,,,,,MMC,,,,,,
PCAR,"24,99","4,51","12,52%","8,91%","13,11%","57,73%",,PCAR,"24,93","4,51","12,52%","8,91%","13,11%","57,73%",,PCAR,"-0,25%","+0,00%","+0,04%","+0,03%","-0,02%","+0,01%"
