ticker,empresa,sector,tipo,precio,market_cap,precio_52w_max,precio_52w_min,pe,p_book,deuda_equity,deuda_ebitda,margen_neto,roe,op_margin,ebitda_margin,fcf,fcf_yield,payout_ratio,current_ratio,eps_cagr_5y,revenue,net_income,ebitda,equity,liabilities
BMA_US,Banco Macro,Financials,ADR,,,,,,,,,,,,,,,,,,,,,,
CAAP_US,Corporación América Airports,Transportation,ADR,,,,,,,,,,,,,,,,,,,,,,
CEPU_US,Central Puerto,Utilities,ADR,,,,,,,,,,,,,,,,,,,,,,
CRESY_US,Cresud,Agriculture,ADR,,,,,,,,,,,,,,,,,,,,,,
EDN_US,Edenor,Utilities,ADR,,,,,,,,,,,,,,,,,,,,,,
GGAL_US,Grupo Financiero Galicia,Financials,ADR,,,,,,,,,,,,,,,,,,,,,,
GLOB_US,Globant,Technology,ADR,,,,,,,,,,,,,,,,,,,,,,
IRS_US,IRSA,Real Estate,ADR,,,,,,,,,,,,,,,,,,,,,,
LOMA_US,Loma Negra,Materials,ADR,,,,,,,,,,,,,,,,,,,,,,
MELI_US,MercadoLibre,E-commerce,ADR,,,,,,,,,,,,,,,,,,,,,,
PAM_US,Pampa Energía,Utilities,ADR,,,,,,,,,,,,,,,,,,,,,,
SUPV_US,Grupo Supervielle,Financials,ADR,,,,,,,,,,,,,,,,,,,,,,
TEO_US,Telecom Argentina,Telecommunications,ADR,,,,,,,,,,,,,,,,,,,,,,
TGS_US,Transportadora Gas Sur,Energy,ADR,,,,,,,,,,,,,,,,,,,,,,
TS_US,Tenaris,Materials,ADR,,,,,,,,,,,,,,,,,,,,,,
TX_US,Ternium Argentina,Materials,ADR,,,,,,,,,,,,,,,,,,,,,,
YPF_US,YPF,Energy,ADR,,,,,,,,,,,,,,,,,,,,,,
